Variation #,Input,Weight,Bias,Running Mean,Running Var,Momentum,Eps
230,"Tensor<[1, 1184, 7, 7]> input = ?",Optional[Tensor]<[1184]> weight = ?,Optional[Tensor]<[1184]> bias = ?,Tensor<[1184]> running_mean = ?,Tensor<[1184]> running_var = ?,float momentum = 0.1,float eps = 1e-05
231,"Tensor<[1, 1216, 7, 7]> input = ?",Optional[Tensor]<[1216]> weight = ?,Optional[Tensor]<[1216]> bias = ?,Tensor<[1216]> running_mean = ?,Tensor<[1216]> running_var = ?,float momentum = 0.1,float eps = 1e-05
232,"Tensor<[1, 1280, 7, 7]> input = ?",Optional[Tensor]<[1280]> weight = ?,Optional[Tensor]<[1280]> bias = ?,Tensor<[1280]> running_mean = ?,Tensor<[1280]> running_var = ?,float momentum = 0.1,float eps = 1e-05
233,"Tensor<[1, 1312, 7, 7]> input = ?",Optional[Tensor]<[1312]> weight = ?,Optional[Tensor]<[1312]> bias = ?,Tensor<[1312]> running_mean = ?,Tensor<[1312]> running_var = ?,float momentum = 0.1,float eps = 1e-05
234,"Tensor<[1, 1376, 7, 7]> input = ?",Optional[Tensor]<[1376]> weight = ?,Optional[Tensor]<[1376]> bias = ?,Tensor<[1376]> running_mean = ?,Tensor<[1376]> running_var = ?,float momentum = 0.1,float eps = 1e-05
235,"Tensor<[1, 1408, 7, 7]> input = ?",Optional[Tensor]<[1408]> weight = ?,Optional[Tensor]<[1408]> bias = ?,Tensor<[1408]> running_mean = ?,Tensor<[1408]> running_var = ?,float momentum = 0.1,float eps = 1e-05
236,"Tensor<[1, 1472, 7, 7]> input = ?",Optional[Tensor]<[1472]> weight = ?,Optional[Tensor]<[1472]> bias = ?,Tensor<[1472]> running_mean = ?,Tensor<[1472]> running_var = ?,float momentum = 0.1,float eps = 1e-05
237,"Tensor<[1, 1504, 7, 7]> input = ?",Optional[Tensor]<[1504]> weight = ?,Optional[Tensor]<[1504]> bias = ?,Tensor<[1504]> running_mean = ?,Tensor<[1504]> running_var = ?,float momentum = 0.1,float eps = 1e-05
238,"Tensor<[1, 1568, 7, 7]> input = ?",Optional[Tensor]<[1568]> weight = ?,Optional[Tensor]<[1568]> bias = ?,Tensor<[1568]> running_mean = ?,Tensor<[1568]> running_var = ?,float momentum = 0.1,float eps = 1e-05
239,"Tensor<[1, 1600, 7, 7]> input = ?",Optional[Tensor]<[1600]> weight = ?,Optional[Tensor]<[1600]> bias = ?,Tensor<[1600]> running_mean = ?,Tensor<[1600]> running_var = ?,float momentum = 0.1,float eps = 1e-05
240,"Tensor<[1, 1664, 7, 7]> input = ?",Optional[Tensor]<[1664]> weight = ?,Optional[Tensor]<[1664]> bias = ?,Tensor<[1664]> running_mean = ?,Tensor<[1664]> running_var = ?,float momentum = 0.1,float eps = 1e-05
241,"Tensor<[1, 1312, 14, 14]> input = ?",Optional[Tensor]<[1312]> weight = ?,Optional[Tensor]<[1312]> bias = ?,Tensor<[1312]> running_mean = ?,Tensor<[1312]> running_var = ?,float momentum = 0.1,float eps = 1e-05
242,"Tensor<[1, 1376, 14, 14]> input = ?",Optional[Tensor]<[1376]> weight = ?,Optional[Tensor]<[1376]> bias = ?,Tensor<[1376]> running_mean = ?,Tensor<[1376]> running_var = ?,float momentum = 0.1,float eps = 1e-05
243,"Tensor<[1, 1408, 14, 14]> input = ?",Optional[Tensor]<[1408]> weight = ?,Optional[Tensor]<[1408]> bias = ?,Tensor<[1408]> running_mean = ?,Tensor<[1408]> running_var = ?,float momentum = 0.1,float eps = 1e-05
244,"Tensor<[1, 1472, 14, 14]> input = ?",Optional[Tensor]<[1472]> weight = ?,Optional[Tensor]<[1472]> bias = ?,Tensor<[1472]> running_mean = ?,Tensor<[1472]> running_var = ?,float momentum = 0.1,float eps = 1e-05
245,"Tensor<[1, 1504, 14, 14]> input = ?",Optional[Tensor]<[1504]> weight = ?,Optional[Tensor]<[1504]> bias = ?,Tensor<[1504]> running_mean = ?,Tensor<[1504]> running_var = ?,float momentum = 0.1,float eps = 1e-05
246,"Tensor<[1, 1568, 14, 14]> input = ?",Optional[Tensor]<[1568]> weight = ?,Optional[Tensor]<[1568]> bias = ?,Tensor<[1568]> running_mean = ?,Tensor<[1568]> running_var = ?,float momentum = 0.1,float eps = 1e-05
247,"Tensor<[1, 1600, 14, 14]> input = ?",Optional[Tensor]<[1600]> weight = ?,Optional[Tensor]<[1600]> bias = ?,Tensor<[1600]> running_mean = ?,Tensor<[1600]> running_var = ?,float momentum = 0.1,float eps = 1e-05
248,"Tensor<[1, 1664, 14, 14]> input = ?",Optional[Tensor]<[1664]> weight = ?,Optional[Tensor]<[1664]> bias = ?,Tensor<[1664]> running_mean = ?,Tensor<[1664]> running_var = ?,float momentum = 0.1,float eps = 1e-05
249,"Tensor<[1, 1696, 14, 14]> input = ?",Optional[Tensor]<[1696]> weight = ?,Optional[Tensor]<[1696]> bias = ?,Tensor<[1696]> running_mean = ?,Tensor<[1696]> running_var = ?,float momentum = 0.1,float eps = 1e-05
250,"Tensor<[1, 1760, 14, 14]> input = ?",Optional[Tensor]<[1760]> weight = ?,Optional[Tensor]<[1760]> bias = ?,Tensor<[1760]> running_mean = ?,Tensor<[1760]> running_var = ?,float momentum = 0.1,float eps = 1e-05
251,"Tensor<[1, 1792, 14, 14]> input = ?",Optional[Tensor]<[1792]> weight = ?,Optional[Tensor]<[1792]> bias = ?,Tensor<[1792]> running_mean = ?,Tensor<[1792]> running_var = ?,float momentum = 0.1,float eps = 1e-05
252,"Tensor<[1, 1696, 7, 7]> input = ?",Optional[Tensor]<[1696]> weight = ?,Optional[Tensor]<[1696]> bias = ?,Tensor<[1696]> running_mean = ?,Tensor<[1696]> running_var = ?,float momentum = 0.1,float eps = 1e-05
253,"Tensor<[1, 1760, 7, 7]> input = ?",Optional[Tensor]<[1760]> weight = ?,Optional[Tensor]<[1760]> bias = ?,Tensor<[1760]> running_mean = ?,Tensor<[1760]> running_var = ?,float momentum = 0.1,float eps = 1e-05
254,"Tensor<[1, 1792, 7, 7]> input = ?",Optional[Tensor]<[1792]> weight = ?,Optional[Tensor]<[1792]> bias = ?,Tensor<[1792]> running_mean = ?,Tensor<[1792]> running_var = ?,float momentum = 0.1,float eps = 1e-05
255,"Tensor<[1, 1856, 7, 7]> input = ?",Optional[Tensor]<[1856]> weight = ?,Optional[Tensor]<[1856]> bias = ?,Tensor<[1856]> running_mean = ?,Tensor<[1856]> running_var = ?,float momentum = 0.1,float eps = 1e-05
256,"Tensor<[1, 1888, 7, 7]> input = ?",Optional[Tensor]<[1888]> weight = ?,Optional[Tensor]<[1888]> bias = ?,Tensor<[1888]> running_mean = ?,Tensor<[1888]> running_var = ?,float momentum = 0.1,float eps = 1e-05
257,"Tensor<[1, 16, 224, 224]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 1e-05
258,"Tensor<[1, 224, 7, 7]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 1e-05
259,"Tensor<[1, 16, 112, 112]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 1e-05
260,"Tensor<[1, 8, 112, 112]> input = ?",Optional[Tensor]<[8]> weight = ?,Optional[Tensor]<[8]> bias = ?,Tensor<[8]> running_mean = ?,Tensor<[8]> running_var = ?,float momentum = 0.1,float eps = 1e-05
261,"Tensor<[1, 24, 112, 112]> input = ?",Optional[Tensor]<[24]> weight = ?,Optional[Tensor]<[24]> bias = ?,Tensor<[24]> running_mean = ?,Tensor<[24]> running_var = ?,float momentum = 0.1,float eps = 1e-05
262,"Tensor<[1, 48, 56, 56]> input = ?",Optional[Tensor]<[48]> weight = ?,Optional[Tensor]<[48]> bias = ?,Tensor<[48]> running_mean = ?,Tensor<[48]> running_var = ?,float momentum = 0.1,float eps = 1e-05
263,"Tensor<[1, 12, 56, 56]> input = ?",Optional[Tensor]<[12]> weight = ?,Optional[Tensor]<[12]> bias = ?,Tensor<[12]> running_mean = ?,Tensor<[12]> running_var = ?,float momentum = 0.1,float eps = 1e-05
264,"Tensor<[1, 16, 56, 56]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 1e-05
265,"Tensor<[1, 36, 56, 56]> input = ?",Optional[Tensor]<[36]> weight = ?,Optional[Tensor]<[36]> bias = ?,Tensor<[36]> running_mean = ?,Tensor<[36]> running_var = ?,float momentum = 0.1,float eps = 1e-05
266,"Tensor<[1, 72, 28, 28]> input = ?",Optional[Tensor]<[72]> weight = ?,Optional[Tensor]<[72]> bias = ?,Tensor<[72]> running_mean = ?,Tensor<[72]> running_var = ?,float momentum = 0.1,float eps = 1e-05
267,"Tensor<[1, 24, 28, 28]> input = ?",Optional[Tensor]<[24]> weight = ?,Optional[Tensor]<[24]> bias = ?,Tensor<[24]> running_mean = ?,Tensor<[24]> running_var = ?,float momentum = 0.1,float eps = 1e-05
268,"Tensor<[1, 40, 28, 28]> input = ?",Optional[Tensor]<[40]> weight = ?,Optional[Tensor]<[40]> bias = ?,Tensor<[40]> running_mean = ?,Tensor<[40]> running_var = ?,float momentum = 0.1,float eps = 1e-05
269,"Tensor<[1, 60, 28, 28]> input = ?",Optional[Tensor]<[60]> weight = ?,Optional[Tensor]<[60]> bias = ?,Tensor<[60]> running_mean = ?,Tensor<[60]> running_var = ?,float momentum = 0.1,float eps = 1e-05
270,"Tensor<[1, 120, 28, 28]> input = ?",Optional[Tensor]<[120]> weight = ?,Optional[Tensor]<[120]> bias = ?,Tensor<[120]> running_mean = ?,Tensor<[120]> running_var = ?,float momentum = 0.1,float eps = 1e-05
271,"Tensor<[1, 240, 14, 14]> input = ?",Optional[Tensor]<[240]> weight = ?,Optional[Tensor]<[240]> bias = ?,Tensor<[240]> running_mean = ?,Tensor<[240]> running_var = ?,float momentum = 0.1,float eps = 1e-05
272,"Tensor<[1, 80, 14, 14]> input = ?",Optional[Tensor]<[80]> weight = ?,Optional[Tensor]<[80]> bias = ?,Tensor<[80]> running_mean = ?,Tensor<[80]> running_var = ?,float momentum = 0.1,float eps = 1e-05
273,"Tensor<[1, 100, 14, 14]> input = ?",Optional[Tensor]<[100]> weight = ?,Optional[Tensor]<[100]> bias = ?,Tensor<[100]> running_mean = ?,Tensor<[100]> running_var = ?,float momentum = 0.1,float eps = 1e-05
274,"Tensor<[1, 92, 14, 14]> input = ?",Optional[Tensor]<[92]> weight = ?,Optional[Tensor]<[92]> bias = ?,Tensor<[92]> running_mean = ?,Tensor<[92]> running_var = ?,float momentum = 0.1,float eps = 1e-05
275,"Tensor<[1, 56, 14, 14]> input = ?",Optional[Tensor]<[56]> weight = ?,Optional[Tensor]<[56]> bias = ?,Tensor<[56]> running_mean = ?,Tensor<[56]> running_var = ?,float momentum = 0.1,float eps = 1e-05
276,"Tensor<[1, 112, 14, 14]> input = ?",Optional[Tensor]<[112]> weight = ?,Optional[Tensor]<[112]> bias = ?,Tensor<[112]> running_mean = ?,Tensor<[112]> running_var = ?,float momentum = 0.1,float eps = 1e-05
277,"Tensor<[1, 336, 14, 14]> input = ?",Optional[Tensor]<[336]> weight = ?,Optional[Tensor]<[336]> bias = ?,Tensor<[336]> running_mean = ?,Tensor<[336]> running_var = ?,float momentum = 0.1,float eps = 1e-05
278,"Tensor<[1, 80, 7, 7]> input = ?",Optional[Tensor]<[80]> weight = ?,Optional[Tensor]<[80]> bias = ?,Tensor<[80]> running_mean = ?,Tensor<[80]> running_var = ?,float momentum = 0.1,float eps = 1e-05
279,"Tensor<[1, 112, 7, 7]> input = ?",Optional[Tensor]<[112]> weight = ?,Optional[Tensor]<[112]> bias = ?,Tensor<[112]> running_mean = ?,Tensor<[112]> running_var = ?,float momentum = 0.1,float eps = 1e-05
280,"Tensor<[1, 480, 7, 7]> input = ?",Optional[Tensor]<[480]> weight = ?,Optional[Tensor]<[480]> bias = ?,Tensor<[480]> running_mean = ?,Tensor<[480]> running_var = ?,float momentum = 0.1,float eps = 1e-05
281,"Tensor<[1, 120, 14, 14]> input = ?",Optional[Tensor]<[120]> weight = ?,Optional[Tensor]<[120]> bias = ?,Tensor<[120]> running_mean = ?,Tensor<[120]> running_var = ?,float momentum = 0.1,float eps = 1e-05
282,"Tensor<[1, 200, 7, 7]> input = ?",Optional[Tensor]<[200]> weight = ?,Optional[Tensor]<[200]> bias = ?,Tensor<[200]> running_mean = ?,Tensor<[200]> running_var = ?,float momentum = 0.1,float eps = 1e-05
283,"Tensor<[1, 184, 7, 7]> input = ?",Optional[Tensor]<[184]> weight = ?,Optional[Tensor]<[184]> bias = ?,Tensor<[184]> running_mean = ?,Tensor<[184]> running_var = ?,float momentum = 0.1,float eps = 1e-05
284,"Tensor<[1, 960, 3, 3]> input = ?",Optional[Tensor]<[960]> weight = ?,Optional[Tensor]<[960]> bias = ?,Tensor<[960]> running_mean = ?,Tensor<[960]> running_var = ?,float momentum = 0.1,float eps = 1e-05
285,"Tensor<[1, 64, 112, 112]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
286,"Tensor<[1, 64, 56, 56]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
287,"Tensor<[1, 192, 56, 56]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
288,"Tensor<[1, 64, 28, 28]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
289,"Tensor<[1, 96, 28, 28]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 0.001
290,"Tensor<[1, 128, 28, 28]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 0.001
291,"Tensor<[1, 16, 28, 28]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 0.001
292,"Tensor<[1, 32, 28, 28]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 0.001
293,"Tensor<[1, 192, 28, 28]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
294,"Tensor<[1, 192, 14, 14]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
295,"Tensor<[1, 96, 14, 14]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 0.001
296,"Tensor<[1, 208, 14, 14]> input = ?",Optional[Tensor]<[208]> weight = ?,Optional[Tensor]<[208]> bias = ?,Tensor<[208]> running_mean = ?,Tensor<[208]> running_var = ?,float momentum = 0.1,float eps = 0.001
297,"Tensor<[1, 16, 14, 14]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 0.001
298,"Tensor<[1, 48, 14, 14]> input = ?",Optional[Tensor]<[48]> weight = ?,Optional[Tensor]<[48]> bias = ?,Tensor<[48]> running_mean = ?,Tensor<[48]> running_var = ?,float momentum = 0.1,float eps = 0.001
299,"Tensor<[1, 64, 14, 14]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
300,"Tensor<[1, 160, 14, 14]> input = ?",Optional[Tensor]<[160]> weight = ?,Optional[Tensor]<[160]> bias = ?,Tensor<[160]> running_mean = ?,Tensor<[160]> running_var = ?,float momentum = 0.1,float eps = 0.001
301,"Tensor<[1, 112, 14, 14]> input = ?",Optional[Tensor]<[112]> weight = ?,Optional[Tensor]<[112]> bias = ?,Tensor<[112]> running_mean = ?,Tensor<[112]> running_var = ?,float momentum = 0.1,float eps = 0.001
302,"Tensor<[1, 224, 14, 14]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 0.001
303,"Tensor<[1, 24, 14, 14]> input = ?",Optional[Tensor]<[24]> weight = ?,Optional[Tensor]<[24]> bias = ?,Tensor<[24]> running_mean = ?,Tensor<[24]> running_var = ?,float momentum = 0.1,float eps = 0.001
304,"Tensor<[1, 128, 14, 14]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 0.001
305,"Tensor<[1, 256, 14, 14]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 0.001
306,"Tensor<[1, 144, 14, 14]> input = ?",Optional[Tensor]<[144]> weight = ?,Optional[Tensor]<[144]> bias = ?,Tensor<[144]> running_mean = ?,Tensor<[144]> running_var = ?,float momentum = 0.1,float eps = 0.001
307,"Tensor<[1, 288, 14, 14]> input = ?",Optional[Tensor]<[288]> weight = ?,Optional[Tensor]<[288]> bias = ?,Tensor<[288]> running_mean = ?,Tensor<[288]> running_var = ?,float momentum = 0.1,float eps = 0.001
308,"Tensor<[1, 32, 14, 14]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 0.001
309,"Tensor<[1, 320, 14, 14]> input = ?",Optional[Tensor]<[320]> weight = ?,Optional[Tensor]<[320]> bias = ?,Tensor<[320]> running_mean = ?,Tensor<[320]> running_var = ?,float momentum = 0.1,float eps = 0.001
310,"Tensor<[1, 256, 7, 7]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 0.001
311,"Tensor<[1, 160, 7, 7]> input = ?",Optional[Tensor]<[160]> weight = ?,Optional[Tensor]<[160]> bias = ?,Tensor<[160]> running_mean = ?,Tensor<[160]> running_var = ?,float momentum = 0.1,float eps = 0.001
312,"Tensor<[1, 320, 7, 7]> input = ?",Optional[Tensor]<[320]> weight = ?,Optional[Tensor]<[320]> bias = ?,Tensor<[320]> running_mean = ?,Tensor<[320]> running_var = ?,float momentum = 0.1,float eps = 0.001
313,"Tensor<[1, 32, 7, 7]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 0.001
314,"Tensor<[1, 128, 7, 7]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 0.001
315,"Tensor<[1, 384, 7, 7]> input = ?",Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,Tensor<[384]> running_mean = ?,Tensor<[384]> running_var = ?,float momentum = 0.1,float eps = 0.001
316,"Tensor<[1, 192, 7, 7]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
317,"Tensor<[1, 48, 7, 7]> input = ?",Optional[Tensor]<[48]> weight = ?,Optional[Tensor]<[48]> bias = ?,Tensor<[48]> running_mean = ?,Tensor<[48]> running_var = ?,float momentum = 0.1,float eps = 0.001
318,"Tensor<[1, 18, 56, 56]> input = ?",Optional[Tensor]<[18]> weight = ?,Optional[Tensor]<[18]> bias = ?,Tensor<[18]> running_mean = ?,Tensor<[18]> running_var = ?,float momentum = 0.1,float eps = 1e-05
319,"Tensor<[1, 36, 28, 28]> input = ?",Optional[Tensor]<[36]> weight = ?,Optional[Tensor]<[36]> bias = ?,Tensor<[36]> running_mean = ?,Tensor<[36]> running_var = ?,float momentum = 0.1,float eps = 1e-05
320,"Tensor<[1, 18, 28, 28]> input = ?",Optional[Tensor]<[18]> weight = ?,Optional[Tensor]<[18]> bias = ?,Tensor<[18]> running_mean = ?,Tensor<[18]> running_var = ?,float momentum = 0.1,float eps = 1e-05
321,"Tensor<[1, 72, 14, 14]> input = ?",Optional[Tensor]<[72]> weight = ?,Optional[Tensor]<[72]> bias = ?,Tensor<[72]> running_mean = ?,Tensor<[72]> running_var = ?,float momentum = 0.1,float eps = 1e-05
322,"Tensor<[1, 18, 14, 14]> input = ?",Optional[Tensor]<[18]> weight = ?,Optional[Tensor]<[18]> bias = ?,Tensor<[18]> running_mean = ?,Tensor<[18]> running_var = ?,float momentum = 0.1,float eps = 1e-05
323,"Tensor<[1, 36, 14, 14]> input = ?",Optional[Tensor]<[36]> weight = ?,Optional[Tensor]<[36]> bias = ?,Tensor<[36]> running_mean = ?,Tensor<[36]> running_var = ?,float momentum = 0.1,float eps = 1e-05
324,"Tensor<[1, 144, 7, 7]> input = ?",Optional[Tensor]<[144]> weight = ?,Optional[Tensor]<[144]> bias = ?,Tensor<[144]> running_mean = ?,Tensor<[144]> running_var = ?,float momentum = 0.1,float eps = 1e-05
325,"Tensor<[1, 18, 7, 7]> input = ?",Optional[Tensor]<[18]> weight = ?,Optional[Tensor]<[18]> bias = ?,Tensor<[18]> running_mean = ?,Tensor<[18]> running_var = ?,float momentum = 0.1,float eps = 1e-05
326,"Tensor<[1, 36, 7, 7]> input = ?",Optional[Tensor]<[36]> weight = ?,Optional[Tensor]<[36]> bias = ?,Tensor<[36]> running_mean = ?,Tensor<[36]> running_var = ?,float momentum = 0.1,float eps = 1e-05
327,"Tensor<[1, 72, 7, 7]> input = ?",Optional[Tensor]<[72]> weight = ?,Optional[Tensor]<[72]> bias = ?,Tensor<[72]> running_mean = ?,Tensor<[72]> running_var = ?,float momentum = 0.1,float eps = 1e-05
328,"Tensor<[1, 32, 56, 56]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 1e-05
329,"Tensor<[1, 64, 28, 28]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
330,"Tensor<[1, 256, 7, 7]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 1e-05
331,"Tensor<[1, 32, 149, 149]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 0.001
332,"Tensor<[1, 32, 147, 147]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 0.001
333,"Tensor<[1, 64, 147, 147]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
334,"Tensor<[1, 96, 73, 73]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 0.001
335,"Tensor<[1, 64, 73, 73]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
336,"Tensor<[1, 96, 71, 71]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 0.001
337,"Tensor<[1, 192, 35, 35]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
338,"Tensor<[1, 96, 35, 35]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 0.001
339,"Tensor<[1, 64, 35, 35]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 0.001
340,"Tensor<[1, 384, 17, 17]> input = ?",Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,Tensor<[384]> running_mean = ?,Tensor<[384]> running_var = ?,float momentum = 0.1,float eps = 0.001
341,"Tensor<[1, 224, 35, 35]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 0.001
342,"Tensor<[1, 256, 17, 17]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 0.001
343,"Tensor<[1, 192, 17, 17]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 0.001
344,"Tensor<[1, 224, 17, 17]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 0.001
345,"Tensor<[1, 128, 17, 17]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 0.001
