Variation #,Input,Mat2
84,"Tensor<[12, 197, 64]> input = ?","Tensor<[12, 64, 197]> mat2 = ?"
85,"Tensor<[12, 197, 197]> input = ?","Tensor<[12, 197, 64]> mat2 = ?"
86,"Tensor<[16, 197, 64]> input = ?","Tensor<[16, 64, 197]> mat2 = ?"
87,"Tensor<[16, 197, 197]> input = ?","Tensor<[16, 197, 64]> mat2 = ?"
88,"Tensor<[12, 24, 64]> input = ?","Tensor<[12, 64, 24]> mat2 = ?"
89,"Tensor<[24, 12, 64]> input = ?","Tensor<[24, 64, 24]> mat2 = ?"
90,"Tensor<[12, 24, 24]> input = ?","Tensor<[12, 24, 64]> mat2 = ?"
91,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, 1]> mat2 = ?"
92,"Tensor<[12, 1, 1]> input = ?","Tensor<[12, 1, 64]> mat2 = ?"
93,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, 24]> mat2 = ?"
94,"Tensor<[12, 1, 24]> input = ?","Tensor<[12, 24, 64]> mat2 = ?"
95,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, 2]> mat2 = ?"
96,"Tensor<[12, 1, 2]> input = ?","Tensor<[12, 2, 64]> mat2 = ?"
97,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s0 + 1]> mat2 = ?"
98,"Tensor<[12, 1, s0 + 1]> input = ?","Tensor<[12, s0 + 1, 64]> mat2 = ?"
99,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s2 + 1]> mat2 = ?"
100,"Tensor<[12, 1, s2 + 1]> input = ?","Tensor<[12, s2 + 1, 64]> mat2 = ?"
101,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s4 + 1]> mat2 = ?"
102,"Tensor<[12, 1, s4 + 1]> input = ?","Tensor<[12, s4 + 1, 64]> mat2 = ?"
103,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s6 + 1]> mat2 = ?"
104,"Tensor<[12, 1, s6 + 1]> input = ?","Tensor<[12, s6 + 1, 64]> mat2 = ?"
105,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s8 + 1]> mat2 = ?"
106,"Tensor<[12, 1, s8 + 1]> input = ?","Tensor<[12, s8 + 1, 64]> mat2 = ?"
107,"Tensor<[256, 49, 32]> input = ?","Tensor<[256, 32, 49]> mat2 = ?"
108,"Tensor<[256, 49, 49]> input = ?","Tensor<[256, 49, 32]> mat2 = ?"
109,"Tensor<[128, 49, 32]> input = ?","Tensor<[128, 32, 49]> mat2 = ?"
110,"Tensor<[128, 49, 49]> input = ?","Tensor<[128, 49, 32]> mat2 = ?"
111,"Tensor<[64, 49, 32]> input = ?","Tensor<[64, 32, 49]> mat2 = ?"
112,"Tensor<[64, 49, 49]> input = ?","Tensor<[64, 49, 32]> mat2 = ?"
113,"Tensor<[32, 49, 32]> input = ?","Tensor<[32, 32, 49]> mat2 = ?"
114,"Tensor<[32, 49, 49]> input = ?","Tensor<[32, 49, 32]> mat2 = ?"
115,"Tensor<[192, 49, 32]> input = ?","Tensor<[192, 32, 49]> mat2 = ?"
116,"Tensor<[192, 49, 49]> input = ?","Tensor<[192, 49, 32]> mat2 = ?"
117,"Tensor<[96, 49, 32]> input = ?","Tensor<[96, 32, 49]> mat2 = ?"
118,"Tensor<[96, 49, 49]> input = ?","Tensor<[96, 49, 32]> mat2 = ?"
119,"Tensor<[48, 49, 32]> input = ?","Tensor<[48, 32, 49]> mat2 = ?"
120,"Tensor<[48, 49, 49]> input = ?","Tensor<[48, 49, 32]> mat2 = ?"
121,"Tensor<[24, 49, 32]> input = ?","Tensor<[24, 32, 49]> mat2 = ?"
122,"Tensor<[24, 49, 49]> input = ?","Tensor<[24, 49, 32]> mat2 = ?"
123,"Tensor<[256, 64, 32]> input = ?","Tensor<[256, 32, 64]> mat2 = ?"
124,"Tensor<[256, 64, 64]> input = ?","Tensor<[256, 64, 32]> mat2 = ?"
125,"Tensor<[128, 64, 32]> input = ?","Tensor<[128, 32, 64]> mat2 = ?"
126,"Tensor<[128, 64, 64]> input = ?","Tensor<[128, 64, 32]> mat2 = ?"
127,"Tensor<[64, 64, 32]> input = ?","Tensor<[64, 32, 64]> mat2 = ?"
128,"Tensor<[64, 64, 64]> input = ?","Tensor<[64, 64, 32]> mat2 = ?"
129,"Tensor<[32, 64, 32]> input = ?","Tensor<[32, 32, 64]> mat2 = ?"
130,"Tensor<[32, 64, 64]> input = ?","Tensor<[32, 64, 32]> mat2 = ?"
131,"Tensor<[192, 64, 32]> input = ?","Tensor<[192, 32, 64]> mat2 = ?"
132,"Tensor<[192, 64, 64]> input = ?","Tensor<[192, 64, 32]> mat2 = ?"
133,"Tensor<[96, 64, 32]> input = ?","Tensor<[96, 32, 64]> mat2 = ?"
134,"Tensor<[96, 64, 64]> input = ?","Tensor<[96, 64, 32]> mat2 = ?"
135,"Tensor<[48, 64, 32]> input = ?","Tensor<[48, 32, 64]> mat2 = ?"
136,"Tensor<[48, 64, 64]> input = ?","Tensor<[48, 64, 32]> mat2 = ?"
137,"Tensor<[24, 64, 32]> input = ?","Tensor<[24, 32, 64]> mat2 = ?"
138,"Tensor<[24, 64, 64]> input = ?","Tensor<[24, 64, 32]> mat2 = ?"
139,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, 10]> mat2 = ?"
140,"Tensor<[12, 1, 10]> input = ?","Tensor<[12, 10, 64]> mat2 = ?"
141,"Tensor<[16, 10, 64]> input = ?","Tensor<[16, 64, 10]> mat2 = ?"
142,"Tensor<[16, 10, 10]> input = ?","Tensor<[16, 10, 64]> mat2 = ?"
143,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 1]> mat2 = ?"
144,"Tensor<[16, 1, 1]> input = ?","Tensor<[16, 1, 64]> mat2 = ?"
145,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 10]> mat2 = ?"
146,"Tensor<[16, 1, 10]> input = ?","Tensor<[16, 10, 64]> mat2 = ?"
147,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 2]> mat2 = ?"
